Transaction_ID,Date,Customer_Name,Region,Product_Category,Product_Name,Units_Sold,Unit_Price,Revenue,Unit_Cost,Cost,Profit,Profit_Margin
101448,2025-10-20,Phillip Wall,North,Office Supplies,Gel Pens (Pack of 10),4,12.5,50.0,5.62,22.48,27.52,0.5504
100168,2026-03-23,Lauren Anderson,North,Office Supplies,Paper Shredder,4,89.99,359.96,40.5,162.0,197.96,0.5499
100220,2026-05-04,Zachary Evans,South,Furniture,Dining Table,9,450.0,4050.0,270.0,2430.0,1620.0,0.4
101523,2025-12-30,Teresa Grant,West,Office Supplies,Notebook,11,4.99,54.89,2.25,24.75,30.14,0.5491
100344,2026-02-21,Debra Cummings,East,Electronics,Smart Phone,15,699.99,10499.85,503.99,7559.85,2940.0,0.28
100271,2025-10-20,Trevor Donaldson,South,Office Supplies,Paper Shredder,14,89.99,1259.86,40.5,567.0,692.86,0.5499
101252,2026-04-08,Wanda Short,South,Electronics,Smart Phone,7,699.99,4899.93,503.99,3527.93,1372.0,0.28
100650,2025-08-09,Roger Kennedy,West,Furniture,Sofa,8,799.99,6399.92,479.99,3839.92,2560.0,0.4
100532,2025-10-04,Unknown Customer,South,Furniture,Sofa,8,799.99,6399.92,479.99,3839.92,2560.0,0.4
101399,2025-06-24,Unknown Customer,East,Furniture,Sofa,15,799.99,11999.85,479.99,7199.85,4800.0,0.4
100767,2025-12-25,Carl Turner,North,Electronics,Wireless Headphones,14,149.99,2099.86,107.99,1511.86,588.0,0.28
100865,2025-08-10,Derek Mitchell,West,Office Supplies,Paper Shredder,13,89.99,1169.87,40.5,526.5,643.37,0.5499
100560,2025-09-11,Joe Carpenter,East,Furniture,Sofa,15,799.99,11999.85,479.99,7199.85,4800.0,0.4
101502,2026-01-31,Justin Trevino,East,Office Supplies,Gel Pens (Pack of 10),10,12.5,125.0,5.62,56.2,68.8,0.5504
100203,2026-05-22,Steven Bowen,South,Electronics,Smart Watch,7,249.99,1749.93,179.99,1259.93,490.0,0.28
100210,2025-07-01,William Nelson,West,Furniture,Dining Table,12,450.0,5400.0,270.0,3240.0,2160.0,0.4
100135,2025-11-20,John Miller,South,Office Supplies,Notebook,14,4.99,69.86,2.25,31.5,38.36,0.5491
101113,2026-04-14,Unknown Customer,North,Office Supplies,File Organizer,11,24.99,274.89,11.25,123.75,151.14,0.5498
100070,2025-08-17,Martha Romero,West,Furniture,Office Chair,3,189.99,569.97,113.99,341.97,228.0,0.4
101173,2026-02-10,Justin Garcia,West,Office Supplies,Gel Pens (Pack of 10),12,12.5,150.0,5.62,67.44,82.56,0.5504
100471,2026-02-23,Vincent Holland,North,Furniture,Sofa,4,799.99,3199.96,479.99,1919.96,1280.0,0.4
100987,2026-05-09,Trevor Zavala,East,Electronics,Wireless Headphones,15,149.99,2249.85,107.99,1619.85,630.0,0.28
101531,2025-08-08,Geoffrey Espinoza,West,Electronics,Wireless Headphones,10,149.99,1499.9,107.99,1079.9,420.0,0.28
100239,2026-01-14,Ryan Everett,West,Electronics,Smart Phone,15,699.99,10499.85,503.99,7559.85,2940.0,0.28
100049,2025-11-13,Jeffrey Smith,North,Electronics,Smart Phone,5,699.99,3499.95,503.99,2519.95,980.0,0.28
100802,2026-04-14,Dr. Kevin Miller Jr.,North,Office Supplies,Gel Pens (Pack of 10),13,12.5,162.5,5.62,73.06,89.44,0.5504
100873,2026-03-04,Nathan Green,West,Office Supplies,Gel Pens (Pack of 10),1,12.5,12.5,5.62,5.62,6.88,0.5504
100331,2025-08-15,Paul Vaughn,East,Electronics,Laptop,5,1199.99,5999.95,863.99,4319.95,1680.0,0.28
101055,2026-04-10,Sandra Stone,East,Office Supplies,Mutated Product,11,4.99,54.89,2.25,24.75,30.14,0.5491
101480,2026-04-19,Shannon Roberts,South,Furniture,Ergonomic Desk,9,299.99,2699.91,179.99,1619.91,1080.0,0.4
100554,2025-07-28,Renee Singh,East,Office Supplies,Gel Pens (Pack of 10),2,12.5,25.0,5.62,11.24,13.76,0.5504
101159,2026-01-22,Lisa Fitzgerald,West,Furniture,Ergonomic Desk,5,299.99,1499.95,179.99,899.95,600.0,0.4
100023,2025-06-05,Jason Cox,South,Office Supplies,Paper Shredder,15,89.99,1349.85,40.5,607.5,742.35,0.5499
101124,2026-02-24,Katherine Castro,West,Office Supplies,Paper Shredder,10,89.99,899.9,40.5,405.0,494.9,0.5499
101449,2025-08-06,Kimberly Bailey,North,Office Supplies,Notebook,7,4.99,34.93,2.25,15.75,19.18,0.5491
100185,2026-05-19,Jamie Rowe,West,Office Supplies,Notebook,9,4.99,44.91,2.25,20.25,24.66,0.5491
100450,2026-05-25,Micheal Lee,South,Electronics,Smart Watch,3,249.99,749.97,179.99,539.97,210.0,0.28
100451,2025-12-14,Spencer Nelson,North,Electronics,Smart Watch,12,249.99,2999.88,179.99,2159.88,840.0,0.28
101073,2025-12-01,Elijah Keller,South,Office Supplies,File Organizer,6,24.99,149.94,11.25,67.5,82.44,0.5498
100923,2025-09-17,Elizabeth Fields,South,Furniture,Sofa,14,799.99,11199.86,479.99,6719.86,4480.0,0.4
100634,2025-09-28,Joshua Joyce,East,Furniture,Office Chair,6,189.99,1139.94,113.99,683.94,456.0,0.4
100963,2026-02-28,Stephanie Thomas,South,Electronics,Wireless Headphones,5,149.99,749.95,107.99,539.95,210.0,0.28
100598,2026-02-26,Maria Walker,North,Furniture,Sofa,5,799.99,3999.95,479.99,2399.95,1600.0,0.4
100513,2025-07-25,Hector Williams,West,Electronics,Wireless Headphones,7,149.99,1049.93,107.99,755.93,294.0,0.28
101569,2026-01-24,Jacob Reid,East,Furniture,Dining Table,7,450.0,3150.0,270.0,1890.0,1260.0,0.4
100361,2026-01-29,Holly Perez PhD,North,Office Supplies,Notebook,1,4.99,4.99,2.25,2.25,2.74,0.5491
100030,2025-06-15,Christopher Huffman,East,Electronics,Wireless Headphones,3,149.99,449.97,107.99,323.97,126.0,0.28
100426,2025-06-20,Chad Scott,West,Electronics,Smart Phone,8,699.99,5599.92,503.99,4031.92,1568.0,0.28
101415,2025-11-08,Craig Costa,East,Office Supplies,Notebook,1,4.99,4.99,2.25,2.25,2.74,0.5491
100901,2025-09-19,Stephanie Kirby,West,Electronics,Laptop,3,1199.99,3599.97,863.99,2591.97,1008.0,0.28
100383,2026-04-04,Jamie Mitchell,West,Furniture,Ergonomic Desk,15,299.99,4499.85,179.99,2699.85,1800.0,0.4
100029,2025-09-25,Kathleen Harrison,West,Electronics,Smart Phone,11,699.99,7699.89,503.99,5543.89,2156.0,0.28
100374,2025-07-25,Michele Johnson DVM,South,Electronics,Smart Watch,4,249.99,999.96,179.99,719.96,280.0,0.28
100874,2025-10-30,Nicole Thornton,North,Electronics,Smart Phone,8,699.99,5599.92,503.99,4031.92,1568.0,0.28
100518,2025-11-30,Bradley Ortega,South,Furniture,Sofa,8,799.99,6399.92,479.99,3839.92,2560.0,0.4
100922,2025-09-13,Angela Johnson,East,Furniture,Office Chair,12,189.99,2279.88,113.99,1367.88,912.0,0.4
100950,2025-12-21,Michelle Smith,North,Office Supplies,Notebook,6,4.99,29.94,2.25,13.5,16.44,0.5491
100506,2025-06-07,Jeffrey Stevenson,South,Electronics,Wireless Headphones,6,149.99,899.94,107.99,647.94,252.0,0.28
100591,2025-12-07,Kimberly Smith,East,Electronics,Smart Watch,2,249.99,499.98,179.99,359.98,140.0,0.28
101177,2025-10-08,Anthony Castro,South,Furniture,Dining Table,14,450.0,6300.0,270.0,3780.0,2520.0,0.4
101165,2025-11-16,Michael Berry,East,Office Supplies,Paper Shredder,8,89.99,719.92,40.5,324.0,395.92,0.5499
100756,2025-08-06,Erin Goodman,West,Office Supplies,Notebook,6,4.99,29.94,2.25,13.5,16.44,0.5491
101197,2025-11-18,Unknown Customer,North,Furniture,Office Chair,3,189.99,569.97,113.99,341.97,228.0,0.4
101172,2025-10-15,Alyssa Garner,East,Office Supplies,Paper Shredder,10,89.99,899.9,40.5,405.0,494.9,0.5499
100244,2025-12-16,Paul King,East,Furniture,Dining Table,3,450.0,1350.0,270.0,810.0,540.0,0.4
100759,2025-08-18,Kristina Tyler,North,Office Supplies,File Organizer,2,24.99,49.98,11.25,22.5,27.48,0.5498
100433,2026-01-25,Suzanne Wright,East,Furniture,Dining Table,4,450.0,1800.0,270.0,1080.0,720.0,0.4
100429,2025-11-11,Christopher Pineda,South,Furniture,Office Chair,5,189.99,949.95,113.99,569.95,380.0,0.4
101229,2025-06-30,Christopher Bailey,East,Office Supplies,Notebook,12,4.99,59.88,2.25,27.0,32.88,0.5491
100032,2025-11-17,John Barnes,West,Office Supplies,Paper Shredder,11,89.99,989.89,40.5,445.5,544.39,0.5499
100859,2026-01-05,Dr. Carol Chavez,West,Furniture,Dining Table,1,450.0,450.0,270.0,270.0,180.0,0.4
100438,2025-11-15,Donna Carrillo,South,Furniture,Office Chair,2,189.99,379.98,113.99,227.98,152.0,0.4
101392,2025-09-13,Kevin Morales DVM,North,Office Supplies,Gel Pens (Pack of 10),10,12.5,125.0,5.62,56.2,68.8,0.5504
100810,2025-08-15,Gary Weiss,West,Electronics,Smart Phone,5,699.99,3499.95,503.99,2519.95,980.0,0.28
100889,2025-12-26,Justin Garcia,West,Office Supplies,Paper Shredder,8,89.99,719.92,40.5,324.0,395.92,0.5499
101058,2025-10-06,Colleen Weber,South,Electronics,Laptop,15,1199.99,17999.85,863.99,12959.85,5040.0,0.28
101272,2025-09-27,Kathleen Davis,North,Electronics,Laptop,15,1199.99,17999.85,863.99,12959.85,5040.0,0.28
101005,2026-04-03,David West,North,Furniture,Dining Table,14,450.0,6300.0,270.0,3780.0,2520.0,0.4
100940,2026-02-27,Nathan Long,East,Furniture,Ergonomic Desk,5,299.99,1499.95,179.99,899.95,600.0,0.4
101544,2025-08-23,Marissa Lopez,West,Furniture,Sofa,15,799.99,11999.85,479.99,7199.85,4800.0,0.4
100099,2025-11-02,Benjamin Thompson,West,Electronics,Laptop,13,1199.99,15599.87,863.99,11231.87,4368.0,0.28
101043,2025-08-13,Aaron Miller,North,Furniture,Office Chair,11,189.99,2089.89,113.99,1253.89,836.0,0.4
100727,2026-01-01,Sydney Adams,West,Office Supplies,Paper Shredder,15,89.99,1349.85,40.5,607.5,742.35,0.5499
100674,2025-10-11,Mary Munoz,North,Furniture,Sofa,11,799.99,8799.89,479.99,5279.89,3520.0,0.4
100059,2025-10-14,Erika Rodriguez,North,Office Supplies,Gel Pens (Pack of 10),7,12.5,87.5,5.62,39.34,48.16,0.5504
100251,2025-06-01,Austin Bowers,West,Electronics,Smart Watch,8,249.99,1999.92,179.99,1439.92,560.0,0.28
100069,2025-11-12,Matthew Knight,West,Electronics,Laptop,10,1199.99,11999.9,863.99,8639.9,3360.0,0.28
101406,2025-08-10,Jessica White,South,Furniture,Ergonomic Desk,7,299.99,2099.93,179.99,1259.93,840.0,0.4
101548,2025-06-11,Brandon Turner,South,Furniture,Sofa,8,799.99,6399.92,479.99,3839.92,2560.0,0.4
100115,2025-12-08,Jennifer Moore,South,Office Supplies,Notebook,12,4.99,59.88,2.25,27.0,32.88,0.5491
101063,2026-04-16,Unknown Customer,West,Electronics,Smart Phone,5,699.99,3499.95,503.99,2519.95,980.0,0.28
101341,2026-01-12,Robin Nelson,South,Furniture,Sofa,15,799.99,11999.85,479.99,7199.85,4800.0,0.4
101285,2026-04-09,Briana Clarke,North,Office Supplies,Notebook,11,4.99,54.89,2.25,24.75,30.14,0.5491
100173,2025-09-06,Nicholas Casey,South,Office Supplies,Notebook,12,4.99,59.88,2.25,27.0,32.88,0.5491
101067,2026-04-10,Christine Reed,North,Electronics,Smart Phone,12,699.99,8399.88,503.99,6047.88,2352.0,0.28
101078,2026-02-07,Donna Winters,South,Electronics,Wireless Headphones,11,149.99,1649.89,107.99,1187.89,462.0,0.28
100494,2025-08-19,Theresa Delacruz,South,Electronics,Wireless Headphones,11,149.99,1649.89,107.99,1187.89,462.0,0.28
101052,2025-12-27,Lisa Martinez,West,Furniture,Ergonomic Desk,4,299.99,1199.96,179.99,719.96,480.0,0.4
100619,2026-04-14,Aaron Brooks,North,Office Supplies,Notebook,6,4.99,29.94,2.25,13.5,16.44,0.5491
101534,2025-06-21,Travis Moore,North,Electronics,Wireless Headphones,10,149.99,1499.9,107.99,1079.9,420.0,0.28
100907,2026-01-29,Jessica Coleman,South,Office Supplies,Notebook,1,4.99,4.99,2.25,2.25,2.74,0.5491
100300,2026-05-21,Matthew Brown,East,Electronics,Wireless Headphones,7,149.99,1049.93,107.99,755.93,294.0,0.28
