Transaction_ID,Date,Customer_Name,Product_Category,Product_Name,Units_Sold,Unit_Price,Revenue,Region
101448,2025-10-20,Phillip Wall, Office Supplies ,Gel Pens (Pack of 10),4.0,12.5,50.0,NORTH
100168,23/03/2026,Lauren Anderson,Office Supplies,Paper Shredder,4.0,89.99,359.96,North
100220,"may 04, 2026",Zachary Evans,Furniture,Dining Table,9.0,450.0,4050.0,South
101523,2025-12-30,Teresa Grant,Office Supplies,Notebook,11.0,4.99,54.89,WEST
100344,21/02/2026,Debra Cummings,Electronics,Smart Phone,15.0,699.99,10499.85,EAST
100271,20/10/2025,Trevor Donaldson,Office Supplies,Paper Shredder,14.0,89.99,1259.86,South
101597,03/08/2025,Joshua Contreras,Electronics,Laptop,11.0,,,West
101252,08/04/2026,Wanda Short,Electronics,Smart Phone,7.0,699.99,4899.93,South
100650,"August 09, 2025",Roger Kennedy,furniture,Sofa,8.0,799.99,6399.92,West
100532,04/10/2025,,furniture,Sofa,8.0,799.99,6399.92,S
101399,"June 24, 2025",, Furniture ,Sofa,15.0,799.99,11999.85,EAST
100767,25/12/2025,Carl Turner,Electronics,Wireless Headphones,14.0,149.99,2099.86,N
100865,2025-08-10,Derek Mitchell,Office Supplies,Paper Shredder,13.0,89.99,1169.87,West
100560,"September 11, 2025",Joe Carpenter,Furniture,Sofa,15.0,799.99,11999.85,East
101502,2026-01-31,Justin Trevino,Office Supplies,Gel Pens (Pack of 10),10.0,12.5,125.0,E
101208,22/10/2025,John Joseph,electronics,Smart Watch,,249.99,,South
100203,"May 22, 2026",Steven Bowen, Electronics ,Smart Watch,7.0,249.99,1749.93,South
100210,"jul 01, 2025",William Nelson,furniture,Dining Table,12.0,450.0,5400.0,West
100135,20/11/2025,John Miller,Office Supplies,Notebook,14.0,4.99,69.86,South
101113,14/04/2026,,Office Supplies,File Organizer,11.0,24.99,274.89,NORTH
100650,"August 09, 2025",Roger Kennedy,furniture,Sofa,8.0,799.99,6399.92,West
100070,"August 17, 2025",Martha Romero,Furniture,Office Chair,3.0,189.99,569.97,W
101173,"February 10, 2026",Justin Garcia,office supplies,Gel Pens (Pack of 10),12.0,12.5,150.0,West
100471,"February 23, 2026",Vincent Holland,Furniture,Sofa,4.0,799.99,,North
100987,"May 09, 2026",Trevor Zavala,Electronics,Wireless Headphones,15.0,149.99,,East
101531,08/08/2025,Geoffrey Espinoza,Electronics,Wireless Headphones,10.0,149.99,1499.9,WEST
100239,14/01/2026,Ryan Everett, Electronics ,Smart Phone,15.0,699.99,10499.85,West
100049,"November 13, 2025",Jeffrey Smith,Electronics,Smart Phone,5.0,699.99,3499.95,North
100802,2026-04-14,Dr. Kevin Miller Jr.,Office Supplies,Gel Pens (Pack of 10),13.0,12.5,162.5,north
101258,,Stacy Webb,Office Supplies,File Organizer,11.0,24.99,274.89,East
100873,2026-03-04,Nathan Green,Office Supplies,Gel Pens (Pack of 10),1.0,12.5,12.5,West
100331,"August 15, 2025",Paul Vaughn,Electronics,Laptop,5.0,1199.99,5999.95,East
101055,2026-04-10,Sandra Stone,Office Supplies,Mutated Product,11.0,4.99,999.99,East
100065,"mar 09, 2026",Mark Heath,Electronics,Wireless Headphones,8.0,149.99,,
101480,"apr 19, 2026",Shannon Roberts,Furniture,Ergonomic Desk,9.0,299.99,2699.91,south
